name,subtext,price,ratting,stock
St. Bernardus Abt 12,Quadrupel Beer | 10.0% | 33 cl,£ 3.29,(4.11),out-of-stock
St. Bernardus Pater 6,Dubbel Beer | 6.7% | 33 cl,£ 2.59,(3.64),out-of-stock
Rivière d'Ain Blanche,White Beer | 5.3% | 33 cl,£ 3.39,(3.75),out-of-stock
De Molen Bommen & Granaten,Barley Wine | 11.9% | 33 cl,£ 4.69,(3.91),out-of-stock
Kasteel Tripel,Tripel Beer | 11.0% | 33 cl,£ 3.39,(3.67),out-of-stock
Belgosapiens Blanche de Thines,White Beer | 4.8% | 33 cl,£ 2.49,(3.27),out-of-stock
Brouwerij 't IJ IJwit,White Beer | 6.5% | 33 cl,£ 2.79,(3.61),out-of-stock
Duvel Tripel Hop,Blond Beer | 9.5% | 33 cl,£ 3.39,(3.77),out-of-stock
Duvel,Blond Beer | 8.5% | 33 cl,£ 3.09,(3.81),out-of-stock
Judas,Blond Beer | 8.5% | 33 cl,£ 2.49,(3.51),in-stock
Chimay Wit,Tripel Beer | 8.0% | 33 cl,£ 3.09,(3.81),in-stock
Silly Triple Swaf,Tripel Beer | 8.0% | 33 cl,£ 2.89,(3.31),out-of-stock
Five Points XPA,Pale Ale | 4.0% | 33 cl,£ 2.49,None,out-of-stock
Bruxellensis,Blond Beer | 6.5% | 33 cl,£ 3.49,(3.67),out-of-stock
Gouden Carolus Tripel,Tripel Beer | 9.0% | 33 cl,£ 3.19,(3.89),in-stock
Rochefort 10',Quadrupel Beer | 11.3% | 33 cl,£ 3.99,(4.26),out-of-stock
Houblon Chouffe,IPA | 9.0% | 33 cl,£ 3.29,(3.79),out-of-stock
Wiper & True Milkshake,Porter & Stout | 5.6% | 33 cl,£ 2.89,(3.88),out-of-stock
Blanche De Namur,White Beer | 4.5% | 25 cl,£ 1.99,(3.51),out-of-stock
Jopen Mooie Nel IPA,IPA | 6.5% | 33 cl,£ 2.99,(3.86),out-of-stock
Erdinger Hefeweizen,German Wheat Beer | 5.3% | 33 cl,£ 2.19,(3.71),out-of-stock
Jopen Koyt,Brown Ale | 8.5% | 33 cl,£ 3.29,(3.65),out-of-stock
Kompaan Vrijbuiter,Porter & Stout | 7.1% | 33 cl,£ 3.09,(3.48),out-of-stock
vandeStreek Playground IPA Alcoholvrij,IPA | 0.5% | 33 cl,£ 2.39,None,out-of-stock
Texels Skiller Wit,White Beer | 5.0% | 30 cl,£ 2.49,(3.33),out-of-stock
Brand Blond,Blond Beer | 8.5% | 30 cl,£ 2.29,(3.65),out-of-stock
Muifelbrouwerij Zuster Agatha,Quadrupel Beer | 10.0% | 33 cl,£ 3.69,(3.69),out-of-stock
Mort Subite Geuze Lambic,Sour Beer | 4.5% | 25 cl,£ 1.89,(3.30),out-of-stock
Lindemans Framboos,Fruit Beer | 2.5% | 25 cl,£ 2.39,(3.94),out-of-stock
Gebrouwen Door Vrouwen Bloesem Blond,Blond Beer | 6.2% | 33 cl,£ 2.99,(3.51),out-of-stock
Chouffe Soleil,Blond Beer | 6.0% | 33 cl,£ 2.99,(3.73),out-of-stock
vandeStreek Bier Hop Art,IPA | 5.0% | 33 cl,£ 2.89,(3.34),out-of-stock
Lowlander White Ale,White Beer | 5.0% | 33 cl,£ 2.99,(3.48),in-stock
Crew Republic Foundation 11,Pale Ale | 5.6% | 33 cl,£ 2.89,(3.63),out-of-stock
Kasteel Blonde,Blond Beer | 7.0% | 33 cl,£ 2.59,(3.49),out-of-stock
Kompaan Kameraad,Pilsner & Hoppy Lager | 5.0% | 33 cl,£ 2.49,(3.23),out-of-stock
Texels Skuumkoppe,German Wheat Beer | 6.0% | 30 cl,£ 2.79,(3.72),out-of-stock
Brouwerij Noordt Noordtsingle,Lager | 4.5% | 33 cl,£ 2.79,(3.52),out-of-stock
Bird Brewery Datisandere Koekoek,Saison Beer | 5.6% | 33 cl,£ 2.89,(3.46),out-of-stock
Brand Winter Bock,Amber & Red Ale | 7.5% | 30 cl,£ 2.29,(3.43),out-of-stock
Bird Brewery De Rumoerige Roodborst,Amber & Red Ale | 5.8% | 33 cl,£ 2.99,(3.58),out-of-stock
Jopen Jacobus RPA,Pale Ale | 5.5% | 33 cl,£ 2.89,(3.48),out-of-stock
Kompaan Handlanger,IPA | 8.2% | 33 cl,£ 3.39,(3.69),out-of-stock
Westmalle Dubbel,Dubbel Beer | 7.0% | 33 cl,£ 2.49,(3.76),out-of-stock
Leffe Blond,Blond Beer | 6.6% | 30 cl,£ 2.59,(3.71),out-of-stock
Iki Yuzu,Pale Ale | 4.5% | 33 cl,£ 2.29,(3.08),out-of-stock
Kompaan Joey Greenhorn,IPA | 6.0% | 33 cl,£ 2.99,(3.67),out-of-stock
Rodenbach Grand Cru,Sour Beer | 6.0% | 33 cl,£ 2.99,(4.05),out-of-stock
Palm,Pale Ale | 5.2% | 25 cl,£ 1.99,(3.36),out-of-stock
Brand Dubbelbock,Bock Beer | 7.5% | 30 cl,£ 2.39,(3.46),out-of-stock
Pilsner Urquell,| 4.4% | 33 cl,£ 2.29,(3.35),out-of-stock
Two Chefs Brewing Green Bullet IPA,IPA | 5.7% | 33 cl,£ 2.29,(3.64),out-of-stock
Oedipus Gaia IPA,IPA | 7.0% | 33 cl,£ 3.19,(3.69),out-of-stock
Jopen Life's A Beach Session IPA,IPA | 3.3% | 33 cl,£ 2.69,(3.51),out-of-stock
La Chouffe Blonde D'ardenne,Blond Beer | 8.0% | 33 cl,£ 3.09,(3.89),in-stock
Oedipus Mannenliefde,Saison Beer | 6.0% | 33 cl,£ 2.99,(3.49),out-of-stock
St. Bernardus Prior 8,Dubbel Beer | 8.0% | 33 cl,£ 2.99,(3.81),out-of-stock
Jopen 4 Granen Bokbier,Bock Beer | 6.5% | 33 cl,£ 2.79,(3.50),out-of-stock
Jopen Extra Stout,Porter & Stout | 5.5% | 33 cl,£ 2.89,(3.44),out-of-stock
Crew Republic Roundhouse Kick,Porter & Stout | 9.2% | 33 cl,£ 3.69,(3.78),out-of-stock
Emelisse Vanille Ice Cream Stout,Porter & Stout | 5.5% | 33 cl,£ 3.39,(3.66),out-of-stock
Oedipus Mama,Pale Ale | 5.0% | 33 cl,£ 2.89,(3.46),out-of-stock
Two Chefs Brewing Tropical Ralphie,German Wheat Beer | 5.0% | 33 cl,£ 2.79,(3.45),out-of-stock
Kompaan Bloedbroeder,Porter & Stout | 9.1% | 33 cl,£ 3.69,(3.58),out-of-stock
Two Chefs Brewing Funky Falcon,Pale Ale | 5.2% | 33 cl,£ 2.69,(3.61),out-of-stock
Lindemans Cassis,Fruit Beer | 3.5% | 38 cl,£ 2.89,(3.67),out-of-stock
Paulaner Hefeweizen Naturtrüb,German Wheat Beer | 5.5% | 50 cl,£ 2.79,(3.71),out-of-stock
Paulaner Hefe Weissbier Alcoholvrij,German Wheat Beer | 0.5% | 33 cl,£ 1.89,(2.67),out-of-stock
Cuvée des Trolls,Blond Beer | 7.0% | 25 cl,£ 2.19,(3.51),in-stock
Walhalla Osiris,Saison Beer | 7.0% | 33 cl,£ 3.19,(3.53),out-of-stock
Liefmans Fruitesse,Fruit Beer | 3.8% | 25 cl,£ 2.19,(3.34),out-of-stock
De Leckere Gulden Craen,Blond Beer | 6.0% | 25 cl,£ 2.29,(3.40),out-of-stock
Budels Bio Pilsener,Pilsner & Hoppy Lager | 5.0% | 30 cl,£ 2.19,(3.07),out-of-stock
Gulden Draak Quadruple,Quadrupel Beer | 10.5% | 33 cl,£ 3.79,(3.94),out-of-stock
Gulden Draak,Quadrupel Beer | 10.5% | 33 cl,£ 3.39,(3.88),out-of-stock
Brussels Beer Project Red My Lips,IPA | 4.7% | 33 cl,£ 3.19,(3.38),out-of-stock
Grisette Blond Gluten Free,Blond Beer | 5.5% | 25 cl,£ 2.39,(3.02),out-of-stock
Delirium Tremens,Blond Beer | 8.5% | 33 cl,£ 3.09,(3.94),in-stock
De Eeuwige Jeugd Lellebel,Blond Beer | 5.7% | 33 cl,£ 2.99,(3.59),out-of-stock
Kasteel Donker,Quadrupel Beer | 11.0% | 33 cl,£ 3.39,(3.69),out-of-stock
Houppe,Blond Beer | 7.5% | 33 cl,£ 3.19,(3.73),out-of-stock
De Eeuwige Jeugd Gladjanus,IPA | 4.6% | 33 cl,£ 3.19,(3.51),out-of-stock
Delirium Red,Fruit Beer | 8.0% | 33 cl,£ 2.79,(3.58),out-of-stock
De Koninck Triple D'Anvers,Tripel Beer | 8.0% | 33 cl,£ 3.09,(3.64),out-of-stock
Affligem Patersvat,Blond Beer | 6.8% | 30 cl,£ 2.49,(3.50),out-of-stock
Bush Caractère,Quadrupel Beer | 12.0% | 33 cl,£ 3.49,(3.69),out-of-stock
Liefmans Goudenband,Sour Beer | 8.0% | 33 cl,£ 3.19,(3.83),in-stock
Walhalla Loki,IPA | 5.5% | 33 cl,£ 2.99,(3.63),out-of-stock
Kwaremont Pittig Blond,Blond Beer | 6.6% | 33 cl,£ 2.39,(3.49),out-of-stock
Ename Blond,Blond Beer | 6.5% | 33 cl,£ 2.49,(3.44),in-stock
Budels Honing Bio,Lager | 4.5% | 30 cl,£ 2.09,(3.08),out-of-stock
Lowlander American Pale Ale,Pale Ale | 4.5% | 33 cl,£ 3.19,(3.34),out-of-stock
Fagnes Blonde,Blond Beer | 7.5% | 33 cl,£ 3.49,(3.48),in-stock
Jessenhofke RGLR,Pale Ale | 3.5% | 33 cl,£ 2.49,(2.92),out-of-stock
Engelszell Benno,Dubbel Beer | 6.9% | 33 cl,£ 4.09,(3.50),out-of-stock
Achel Bruin,Dubbel Beer | 8.0% | 33 cl,£ 3.19,(3.80),out-of-stock
Erdinger Alcohol vrij,German Wheat Beer | 0.5% | 33 cl,£ 1.69,(2.80),out-of-stock
Tre Fontane Trappistenbier,Tripel Beer | 8.0% | 33 cl,£ 5.99,(3.66),out-of-stock
Zundert Trappist 8,Tripel Beer | 8.0% | 33 cl,£ 3.49,(3.70),out-of-stock
De Eeuwige Jeugd Bullebak,Tripel Beer | 7.7% | 33 cl,£ 3.49,(3.53),out-of-stock
Brussels Beer Project Dark Sister,IPA | 6.7% | 33 cl,£ 3.09,(3.70),out-of-stock
Het Nest Hertenheer,Blond Beer | 4.8% | 33 cl,£ 3.49,(3.32),out-of-stock
Poesiat & Kater: Van Vollenhoven Extra Stout,Porter & Stout | 7.1% | 33 cl,£ 3.19,(3.58),out-of-stock
Belfort 8°,Blond Beer | 8.0% | 33 cl,£ 3.19,(3.47),out-of-stock
De Dolle Oerbier,Quadrupel Beer | 9.0% | 33 cl,£ 3.59,(3.86),out-of-stock
Jessenhofke TRPL,Tripel Beer | 8.0% | 33 cl,£ 2.99,(3.42),out-of-stock
